# Time-averaged data for fix Fdensity
# TimeStep v_qTemp v_rho v_qmass v_Volume
1440 5111.12 7.95925 91386.9 19072.8
1450 5110.06 7.9269 91386.9 19150.7
1460 5105.04 7.89466 91386.9 19228.9
1470 5100.32 7.86254 91386.9 19307.4
1480 5094.21 7.83054 91386.9 19386.3
1490 5086.49 7.79866 91386.9 19465.6
1500 5076.38 7.7669 91386.9 19545.2
1510 5064.23 7.73528 91386.9 19625.1
1520 5050.94 7.7038 91386.9 19705.3
1530 5038.33 7.67246 91386.9 19785.8
1540 5026.06 7.64128 91386.9 19866.5
1550 5013.76 7.61026 91386.9 19947.5
1560 5001.22 7.57942 91386.9 20028.6
1570 4988.7 7.54875 91386.9 20110
1580 4975.22 7.51826 91386.9 20191.6
1590 4960.78 7.48795 91386.9 20273.3
1600 4945.98 7.4578 91386.9 20355.3
1610 4930.87 7.42782 91386.9 20437.4
1620 4917.75 7.398 91386.9 20519.8
1630 4907.81 7.36835 91386.9 20602.4
1640 4900.65 7.33887 91386.9 20685.1
1650 4896.16 7.30956 91386.9 20768.1
1660 4895.97 7.28041 91386.9 20851.2
1670 4900.26 7.25141 91386.9 20934.6
1680 4907.24 7.22258 91386.9 21018.2
1690 4916.31 7.19391 91386.9 21102
1700 4926.27 7.16538 91386.9 21186
1710 4937.45 7.13699 91386.9 21270.2
1720 4950.61 7.10874 91386.9 21354.8
1730 4967.2 7.08061 91386.9 21439.6
1740 4986.9 7.05258 91386.9 21524.8
1750 5007.35 7.02462 91386.9 21610.5
1760 5027.05 6.99675 91386.9 21696.6
1770 5044.42 6.96895 91386.9 21783.1
1780 5059.25 6.94122 91386.9 21870.1
1790 5072.21 6.91359 91386.9 21957.6
1800 5083.57 6.88603 91386.9 22045.4
1810 5092.19 6.85855 91386.9 22133.8
1820 5098.73 6.83115 91386.9 22222.6
1830 5103.7 6.80381 91386.9 22311.8
1840 5108.26 6.77656 91386.9 22401.6
1850 5111.56 6.74939 91386.9 22491.7
1860 5111.04 6.72231 91386.9 22582.4
1870 5106.23 6.69532 91386.9 22673.4
1880 5098.28 6.66844 91386.9 22764.8
1890 5088.1 6.64168 91386.9 22856.5
1900 5077.54 6.61505 91386.9 22948.5
1910 5065.89 6.58854 91386.9 23040.8
1920 5051.42 6.56216 91386.9 23133.5
1930 5035.07 6.5359 91386.9 23226.4
1940 5018.92 6.50976 91386.9 23319.7
1950 5003.04 6.48374 91386.9 23413.2
1960 4987.32 6.45785 91386.9 23507.1
1970 4972.62 6.4321 91386.9 23601.3
1980 4958.99 6.40647 91386.9 23695.7
1990 4946.92 6.38098 91386.9 23790.3
2000 4934.63 6.35563 91386.9 23885.2
2010 4922.19 6.33043 91386.9 23980.3
2020 4912.13 6.30537 91386.9 24075.6
2030 4905.1 6.28046 91386.9 24171.1
2040 4900.52 6.25568 91386.9 24266.8
2050 4899.14 6.23104 91386.9 24362.8
2060 4901.63 6.20654 91386.9 24459
2070 4908.39 6.18216 91386.9 24555.4
2080 4917.53 6.15791 91386.9 24652.1
2090 4929.74 6.13377 91386.9 24749.1
2100 4944.08 6.10975 91386.9 24846.4
2110 4960.49 6.08584 91386.9 24944
2120 4977.42 6.06204 91386.9 25042
2130 4994.85 6.03832 91386.9 25140.3
2140 5012.61 6.01469 91386.9 25239.1
2150 5030.75 5.99112 91386.9 25338.4
2160 5048.59 5.96762 91386.9 25438.2
2170 5065.73 5.94419 91386.9 25538.5
2180 5081.63 5.92081 91386.9 25639.3
2190 5095.05 5.89749 91386.9 25740.7
2200 5106.05 5.87421 91386.9 25842.7
2210 5115.53 5.85099 91386.9 25945.2
2220 5121.32 5.82784 91386.9 26048.3
2230 5122.57 5.80475 91386.9 26151.9
2240 5121.34 5.78174 91386.9 26256
2250 5119.09 5.75881 91386.9 26360.6
2260 5116.18 5.73596 91386.9 26465.6
2270 5108.81 5.71321 91386.9 26571
2280 5097.47 5.69053 91386.9 26676.8
2290 5084.36 5.66795 91386.9 26783.1
2300 5069.96 5.64546 91386.9 26889.9
2310 5053.3 5.62305 91386.9 26997
2320 5034.68 5.60075 91386.9 27104.5
2330 5015.45 5.57855 91386.9 27212.4
2340 4995.18 5.55646 91386.9 27320.6
2350 4974.93 5.53448 91386.9 27429
2360 4956.21 5.51262 91386.9 27537.8
2370 4938.57 5.49088 91386.9 27646.9
2380 4921.04 5.46926 91386.9 27756.1
2390 4902.88 5.44777 91386.9 27865.6
2400 4885.71 5.42642 91386.9 27975.3
2410 4872.07 5.40518 91386.9 28085.2
2420 4862.11 5.38408 91386.9 28195.3
2430 4855.58 5.3631 91386.9 28305.5
2440 4853.32 5.34225 91386.9 28416
2450 4856.04 5.32151 91386.9 28526.8
2460 4863.15 5.30089 91386.9 28637.7
2470 4873.76 5.28038 91386.9 28749
2480 4887.91 5.25996 91386.9 28860.6
2490 4905.55 5.23963 91386.9 28972.5
2500 4925.92 5.21939 91386.9 29084.9
2510 4948.83 5.19923 91386.9 29197.7
2520 4973.3 5.17914 91386.9 29310.9
2530 4998.35 5.15913 91386.9 29424.6
2540 5022.64 5.13918 91386.9 29538.9
2550 5044.43 5.11929 91386.9 29653.6
2560 5062.85 5.09945 91386.9 29769
2570 5077.97 5.07966 91386.9 29885
2580 5090.73 5.05991 91386.9 30001.6
2590 5101.89 5.04021 91386.9 30118.9
2600 5110.95 5.02054 91386.9 30236.9
2610 5117 5.00091 91386.9 30355.6
2620 5118.29 4.98132 91386.9 30475
2630 5115.69 4.96178 91386.9 30595
2640 5110.38 4.94229 91386.9 30715.6
2650 5103.12 4.92286 91386.9 30836.9
2660 5093.96 4.90349 91386.9 30958.7
2670 5082.66 4.88418 91386.9 31081.1
2680 5068.97 4.86493 91386.9 31204
2690 5053.89 4.84576 91386.9 31327.5
2700 5038.02 4.82666 91386.9 31451.5
2710 5021.4 4.80764 91386.9 31575.9
2720 5004.58 4.78872 91386.9 31700.6
2730 4988.16 4.76989 91386.9 31825.8
2740 4971.53 4.75114 91386.9 31951.4
2750 4955.11 4.7325 91386.9 32077.3
2760 4940.45 4.71394 91386.9 32203.5
2770 4927.34 4.69549 91386.9 32330.1
2780 4915.04 4.67713 91386.9 32457
2790 4904.67 4.65887 91386.9 32584.2
2800 4896.97 4.64071 91386.9 32711.7
2810 4891.6 4.62266 91386.9 32839.5
2820 4888.44 4.6047 91386.9 32967.5
2830 4888.08 4.58685 91386.9 33095.8
2840 4890.49 4.56909 91386.9 33224.4
2850 4895.86 4.55143 91386.9 33353.4
2860 4904.46 4.53385 91386.9 33482.7
2870 4916.88 4.51636 91386.9 33612.4
2880 4932.84 4.49895 91386.9 33742.5
2890 4952.11 4.4816 91386.9 33873
2900 4973.17 4.46433 91386.9 34004.1
2910 4994.31 4.4471 91386.9 34135.8
2920 5016.18 4.42993 91386.9 34268.1
2930 5037.31 4.4128 91386.9 34401.2
2940 5057.26 4.39571 91386.9 34534.9
2950 5075.07 4.37866 91386.9 34669.4
2960 5090.61 4.36165 91386.9 34804.6
2970 5103.93 4.34467 91386.9 34940.6
2980 5114.44 4.32773 91386.9 35077.4
2990 5121.17 4.31083 91386.9 35214.9
3000 5123.84 4.29396 91386.9 35353.2
3010 5123.09 4.27714 91386.9 35492.3
3020 5119.26 4.26036 91386.9 35632.1
3030 5114 4.24363 91386.9 35772.6
3040 5106.16 4.22695 91386.9 35913.7
3050 5095.54 4.21033 91386.9 36055.5
3060 5081.91 4.19376 91386.9 36197.9
3070 5066.66 4.17726 91386.9 36340.9
3080 5051.64 4.16082 91386.9 36484.5
3090 5035.68 4.14446 91386.9 36628.5
3100 5018.94 4.12818 91386.9 36773
3110 5002.51 4.11197 91386.9 36918
3120 4985.16 4.09584 91386.9 37063.3
3130 4966.32 4.0798 91386.9 37209.1
3140 4947.47 4.06384 91386.9 37355.2
3150 4929.69 4.04798 91386.9 37501.6
3160 4914.05 4.03221 91386.9 37648.2
3170 4899.73 4.01654 91386.9 37795.1
3180 4885.37 4.00096 91386.9 37942.3
3190 4873.97 3.98547 91386.9 38089.7
3200 4867.22 3.97008 91386.9 38237.4
3210 4864.51 3.95478 91386.9 38385.4
3220 4865.64 3.93956 91386.9 38533.6
3230 4871.12 3.92443 91386.9 38682.2
3240 4880.34 3.90938 91386.9 38831.1
3250 4892.88 3.8944 91386.9 38980.5
3260 4908.63 3.87949 91386.9 39130.3
3270 4926.72 3.86464 91386.9 39280.6
3280 4946.05 3.84985 91386.9 39431.5
3290 4966.7 3.83511 91386.9 39583.1
3300 4988.19 3.82042 91386.9 39735.3
3310 5010.21 3.80576 91386.9 39888.3
3320 5032.1 3.79115 91386.9 40042.1
3330 5052.21 3.77657 91386.9 40196.7
3340 5068.94 3.76202 91386.9 40352.2
3350 5083.14 3.74749 91386.9 40508.5
3360 5095.71 3.733 91386.9 40665.8
3370 5106.31 3.71853 91386.9 40824
3380 5113.5 3.7041 91386.9 40983.2
3390 5117.06 3.68969 91386.9 41143.2
3400 5117.68 3.67532 91386.9 41304
3410 5115.78 3.66098 91386.9 41465.8
3420 5112.08 3.64669 91386.9 41628.3
3430 5106.08 3.63243 91386.9 41791.8
3440 5098.01 3.61821 91386.9 41956
3450 5088.19 3.60404 91386.9 42120.9
3460 5074.81 3.58992 91386.9 42286.5
3470 5058.72 3.57586 91386.9 42452.8
3480 5041.95 3.56186 91386.9 42619.8
3490 5025.25 3.54791 91386.9 42787.3
3500 5008.8 3.53403 91386.9 42955.3
3510 4992.39 3.52021 91386.9 43123.9
3520 4974.77 3.50647 91386.9 43293
3530 4955.6 3.49279 91386.9 43462.5
3540 4935.62 3.47919 91386.9 43632.5
3550 4916.63 3.46566 91386.9 43802.8
3560 4899.33 3.45221 91386.9 43973.4
3570 4884.1 3.43884 91386.9 44144.3
3580 4871.55 3.42556 91386.9 44315.6
3590 4861.88 3.41235 91386.9 44487.1
3600 4854.4 3.39921 91386.9 44659
3610 4849.78 3.38616 91386.9 44831.2
3620 4849.27 3.37317 91386.9 45003.8
3630 4853.52 3.36026 91386.9 45176.7
3640 4862.48 3.34741 91386.9 45350.1
3650 4875.91 3.33463 91386.9 45524
3660 4893.71 3.3219 91386.9 45698.4
3670 4914.63 3.30923 91386.9 45873.4
3680 4937.8 3.2966 91386.9 46049.1
3690 4963.03 3.28402 91386.9 46225.5
3700 4988.45 3.27148 91386.9 46402.7
3710 5012.35 3.25897 91386.9 46580.8
3720 5035.71 3.2465 91386.9 46759.8
3730 5057.56 3.23405 91386.9 46939.8
3740 5075.81 3.22162 91386.9 47120.9
3750 5090.8 3.20921 91386.9 47303
3760 5101.9 3.19683 91386.9 47486.3
3770 5108.65 3.18446 91386.9 47670.7
3780 5112.06 3.17212 91386.9 47856.1
3790 5112.79 3.15981 91386.9 48042.6
3800 5111.56 3.14753 91386.9 48230
3810 5107.78 3.13528 91386.9 48418.4
3820 5101.14 3.12307 91386.9 48607.8
3830 5092.65 3.11089 91386.9 48798.2
3840 5082.7 3.09875 91386.9 48989.3
3850 5071.97 3.08665 91386.9 49181.3
3860 5060.38 3.0746 91386.9 49374
3870 5046.15 3.06261 91386.9 49567.4
3880 5030.26 3.05066 91386.9 49761.4
3890 5014.02 3.03877 91386.9 49956.2
3900 4997.18 3.02694 91386.9 50151.5
3910 4979.16 3.01516 91386.9 50347.5
3920 4960.98 3.00343 91386.9 50544
3930 4943.67 2.99177 91386.9 50741
3940 4927.03 2.98017 91386.9 50938.5
3950 4911.41 2.96863 91386.9 51136.5
3960 4898.41 2.95716 91386.9 51334.8
3970 4888.38 2.94576 91386.9 51533.6
3980 4881.38 2.93442 91386.9 51732.8
3990 4877.32 2.92313 91386.9 51932.4
4000 4876.7 2.91191 91386.9 52132.6
4010 4879.63 2.90074 91386.9 52333.4
4020 4886.58 2.88963 91386.9 52534.6
4030 4896.65 2.87857 91386.9 52736.4
4040 4910.72 2.86756 91386.9 52938.9
4050 4928.78 2.8566 91386.9 53142
4060 4948.73 2.84569 91386.9 53345.8
4070 4970.82 2.83481 91386.9 53550.4
4080 4994.78 2.82397 91386.9 53756
4090 5018.48 2.81317 91386.9 53962.5
4100 5040.71 2.80239 91386.9 54170.1
4110 5060.74 2.79163 91386.9 54378.8
4120 5078.13 2.7809 91386.9 54588.6
4130 5092.59 2.77019 91386.9 54799.7
4140 5104.44 2.7595 91386.9 55011.9
4150 5113.72 2.74884 91386.9 55225.3
4160 5120.4 2.7382 91386.9 55439.9
4170 5124.09 2.72759 91386.9 55655.6
4180 5124.52 2.717 91386.9 55872.5
4190 5121.92 2.70643 91386.9 56090.6
4200 5116.83 2.6959 91386.9 56309.8
4210 5108.88 2.68539 91386.9 56530.1
4220 5098.33 2.67491 91386.9 56751.5
4230 5085.77 2.66447 91386.9 56974
4240 5071.48 2.65406 91386.9 57197.4
4250 5055.98 2.6437 91386.9 57421.6
4260 5039.53 2.63338 91386.9 57646.7
4270 5022.46 2.6231 91386.9 57872.5
4280 5004.76 2.61288 91386.9 58099
