0 21.7237991136549 
100 21.7324536489138 
200 21.741709975225 
300 21.7502196595754 
400 21.7584573957369 
500 21.7671159098478 
600 21.7769099656731 
700 21.7845802103482 
0 21.7237991136549 
100 21.7324536489138 
200 21.741709975225 
300 21.7502196595754 
400 21.7584573957369 
500 21.7671159098478 
600 21.7769099656731 
0 21.7237991136549
100 21.7324536489138
200 21.741709975225
300 21.7502196595754
400 21.7584573957369
500 21.7671159098478
600 21.7769099656731
700 21.7845802103482
0 21.7233695297291
100 32.879397221747
0 21.7237991136549
100 21.7324536489138
200 21.741709975225
300 21.7502196595754
400 21.7584573957369
500 21.7671159098478
600 21.7769099656731
700 21.7845802103482
0 21.7279158241515
100 21.741829279014
0 21.723381042852
100 32.8793106733773
0 21.7279158241515
100 21.741829279014
